id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,91168,1803885814221,1,1914952803244,118507745392,93477,87229,3784.22,4.33058,75660872660,4.37795,19782003.0,21000000.0,21000000.0,93477,-2.75652,2024-11-13T16:15:35.520Z,67.81,133953.59134,2013-07-06T00:00:00.000Z,,2024-11-14T08:09:34.498Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3226.58,388578196926,2,388578196926,59955076838,3339.06,3124.15,65.78,2.08122,7763558785,2.03867,120421268.860903,120421268.860903,,4878.26,-33.98466,2021-11-10T14:24:19.604Z,0.432979,743677.69145,2015-10-20T00:00:00.000Z,"{'times': 46.34784948970478, 'currency': 'btc', 'percentage': 4634.784948970478}",2024-11-14T08:09:41.083Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,126794719998,3,126794719998,137888486295,1.007,0.98994,-0.00043946585034238,-0.04389,1429580011,1.14033,126625684194.878,126625684194.878,,1.32,-24.16593,2018-07-24T00:00:00.000Z,0.572521,75.25244,2015-03-02T00:00:00.000Z,,2024-11-14T08:09:36.085Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,218.64,103272665521,4,128728599577,13381824694,220.37,204.74,13.73,6.70268,6550280229,6.77225,471997525.813067,588341360.173251,,259.96,-15.93755,2021-11-06T21:54:35.825Z,0.500801,43535.70391,2020-05-11T19:35:23.449Z,,2024-11-14T08:09:41.846Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,658.15,96114366361,5,96114366361,3296665325,658.44,603.5,50.37,8.28829,7551849765,8.52714,145887575.79,145887575.79,200000000.0,717.48,-8.2679,2024-06-06T14:10:59.816Z,0.0398177,1652821.38178,2017-10-19T00:00:00.000Z,,2024-11-14T08:09:42.848Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.400977,58771248519,6,58796980899,27381455300,0.428874,0.373468,0.02326811,6.16033,3410092614,6.15972,146720396383.705,146784636383.705,,0.731578,-45.46047,2021-05-08T05:08:23.458Z,8.69e-05,459027.75598,2015-05-06T00:00:00.000Z,,2024-11-14T08:09:36.030Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.700558,39925109853,7,70196720261,5853757938,0.736225,0.659128,0.04048057,6.1327,2469875600,6.59421,56868662755.0,99987041380.0,100000000000.0,3.4,-79.40056,2018-01-07T00:00:00.000Z,0.00268621,25961.35318,2014-05-22T00:00:00.000Z,,2024-11-14T08:09:41.196Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.001,36699561552,8,36699755658,18673727187,1.007,0.993853,0.00117261,0.11731,239047888,0.65563,36672545694.0957,36672739656.8586,,1.17,-14.68099,2019-05-08T00:40:28.300Z,0.877647,14.00275,2023-03-11T08:02:13.981Z,,2024-11-14T08:09:36.202Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3223.39,31586141911,9,31586141911,74023662,3329.6,3123.72,64.18,2.03165,636266435,2.0558,9799312.80494643,9799312.80494643,,4829.57,-33.47176,2021-11-10T14:40:47.256Z,482.9,565.36621,2020-12-22T04:08:21.854Z,,2024-11-14T08:09:41.561Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.583449,20872339495,10,26260838141,2372100060,0.605414,0.529834,0.050387,9.45232,1794545677,9.40646,35766386138.1327,45000000000.0,45000000000.0,3.09,-81.16303,2021-09-02T06:00:10.474Z,0.01925275,2920.24631,2020-03-13T02:22:55.044Z,,2024-11-14T08:09:34.936Z
